date,company_id,revenue,num_orders,revenue_per_order,average_customer_lifespan,number_of_unique_customers,churn_rate,customer_lifetime_value,new_customers,repeat_customer_rate,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep
2018-02-01,Jim's Gym Supplies,1319.98,37,35.675135135135136,,,1.0,2.8542881524107737,37.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-01,Mary's Christmas Store,104.0,2,52.0,,,1.0,5.025833927180294e-05,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-02,Jim's Gym Supplies,1992.79,53,37.59981132075472,,,1.0,2.449876455672436,53.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-03,Jim's Gym Supplies,1652.98,41,40.31658536585366,,,1.0,2.4473050925081234,41.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-03,John's Boardgame Shop,62.98,1,62.98,,,1.0,0.0003173253234342784,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-03,Mary's Christmas Store,167.28,3,55.76,,,1.0,0.8323474844085067,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-04,Jim's Gym Supplies,1222.55,35,34.93,,,1.0,2.7445333720728113,35.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-04,John's Boardgame Shop,34.99,1,34.99,,,1.0,0.00033373866398757394,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-04,Mary's Christmas Store,29.63,1,29.63,,,1.0,0.641162097375916,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-05,Jim's Gym Supplies,1672.6000000000001,40,41.815000000000005,,,0.9951456310679612,2.5897138030606777,40.0,0.004878048780487805,0,0,0,1,0,0,0,0,0,0,0,0
2018-02-05,John's Boardgame Shop,46.98,1,46.98,,,1.0,0.00025365127503794124,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
